time,src,dst,severity,message
2025-09-01 00:37:17,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:18,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:19,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:38:12,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:12,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:38:14,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:14,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:15,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:15,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:19,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:20,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:22,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:22,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
